"Contract","Realized PNL","Realized PNL %","Close Time","PNL Details"
"
DOGE Perpetual/USDT
Short
Isolated","
0.87 USDT
≈ 0.87 USD","
+2.24%","
6/18/2025, 11:04:21","
Details"
"
DOGE Perpetual/USDT
Short
Isolated","
0.17 USDT
≈ 0.17 USD","
+0.56%","
6/18/2025, 09:25:37","
Details"
"
DOGE Perpetual/USDT
Short
Isolated","
1.55 USDT
≈ 1.55 USD","
+2.94%","
6/18/2025, 05:13:25","
Details"
"
DOGE Perpetual/USDT
Short
Isolated","
0.51 USDT
≈ 0.51 USD","
+2.51%","
6/18/2025, 00:08:41","
Details"
"
DOGE Perpetual/USDT
Short
Isolated","
2.67 USDT
≈ 2.67 USD","
+4.17%","
6/17/2025, 23:29:28","
Details"
"
DOGE Perpetual/USDT
Short
Isolated","
0.48 USDT
≈ 0.48 USD","
+3.07%","
6/17/2025, 20:56:15","
Details"
"
DOGE Perpetual/USDT
Short
Isolated","
10.02 USDT
≈ 10.02 USD","
+12.11%","
6/17/2025, 16:13:45","
Details"
"
XRP Perpetual/USDT
Long
Isolated","
1.07 USDT
≈ 1.07 USD","
+1.97%","
6/17/2025, 07:24:02","
Details"
"
XRP Perpetual/USDT
Long
Isolated","
5.09 USDT
≈ 5.09 USD","
+7.07%","
6/17/2025, 05:44:38","
Details"
"
DOGE Perpetual/USDT
Short
Isolated","
60.84 USDT
≈ 60.84 USD","
+14.55%","
6/17/2025, 04:55:14","
Details"
"
XRP Perpetual/USDT
Long
Isolated","
0.30 USDT
≈ 0.3 USD","
+2.50%","
6/17/2025, 03:37:09","
Details"
"
XRP Perpetual/USDT
Long
Isolated","
16.28 USDT
≈ 16.28 USD","
+3.75%","
6/17/2025, 03:02:17","
Details"
"
XRP Perpetual/USDT
Long
Isolated","
0.83 USDT
≈ 0.83 USD","
+2.70%","
6/17/2025, 00:22:34","
Details"
"
XRP Perpetual/USDT
Long
Isolated","
242.73 USDT
≈ 242.73 USD","
+13.51%","
6/16/2025, 23:39:41","
Details"
"
DOGE Perpetual/USDT
Short
Isolated","
2.15 USDT
≈ 2.15 USD","
+7.72%","
6/16/2025, 00:04:25","
Details"
"
DOGE Perpetual/USDT
Short
Isolated","
1.22 USDT
≈ 1.22 USD","
+2.23%","
6/15/2025, 19:29:47","
Details"
"
DOGE Perpetual/USDT
Short
Isolated","
0.30 USDT
≈ 0.3 USD","
+0.80%","
6/15/2025, 16:36:07","
Details"
"
DOGE Perpetual/USDT
Short
Isolated","
22.03 USDT
≈ 22.03 USD","
+9.44%","
6/15/2025, 15:10:06","
Details"
"
DOGE Perpetual/USDT
Short
Isolated","
0.23 USDT
≈ 0.23 USD","
+0.49%","
6/14/2025, 21:08:52","
Details"
"
DOGE Perpetual/USDT
Short
Isolated","
1.97 USDT
≈ 1.97 USD","
+1.72%","
6/14/2025, 19:18:32","
Details"